STKCODE,STKNAME,LASTPRICE,QTY,AVGPRICE,COSTAMT,MKTAMT,PROFITAMT,PROFITPERC
0012,3A,0.800000,55000,0.9145,50325.0000,44000.000000,-6325.000000,-12.568306
2488,ABMB,2.260000,15000,2.9937,44910.0000,33900.000000,-11010.000000,-24.515698
6599,AEON,1.290000,25000,1.5580,38950.0000,32250.000000,-6700.000000,-17.201540
5185,AFFIN,1.800000,23600,2.4260,57253.6000,42480.000000,-14773.600000,-25.803792
5099,AIRASIA,1.050000,1000,2.4500,2450.0000,1050.000000,-1400.000000,-57.142857
5014,AIRPORT,6.630000,200,6.8100,1362.0000,1326.000000,-36.000000,-2.643172
7609,AJIYA,0.405000,41000,0.4300,17630.0000,16605.000000,-1025.000000,-5.813953
1015,AMBANK,3.710000,3000,3.9533,11859.0000,11130.000000,-729.000000,-6.147230
6351,AMWAY,5.500000,2400,6.4396,15456.0000,13200.000000,-2256.000000,-14.596273
5015,APM,2.030000,2000,2.4400,4880.0000,4060.000000,-820.000000,-16.803279
6399,ASTRO,1.180000,30000,1.6387,49170.0000,35400.000000,-13770.000000,-28.004881
4162,BAT,13.800000,2000,28.1900,56380.0000,27600.000000,-28780.000000,-51.046470
5190,BENALEC,0.120000,60000,0.2800,16800.0000,7200.000000,-9600.000000,-57.142857
5258,BIMB,3.740000,1000,4.3100,4310.0000,3740.000000,-570.000000,-13.225058
1562,BJTOTO,2.540000,40071,2.6876,107710.8480,101780.340000,-5930.508000,-5.505952
5254,BPLANT,0.500000,73200,0.8753,64050.0000,36600.000000,-27450.000000,-42.857143
2771,BSTEAD,0.780000,280000,1.7696,495600.0000,218400.000000,-277200.000000,-55.932203
1818,BURSA,5.490000,8000,5.8450,46760.0000,43920.000000,-2840.000000,-6.073567
7174,CAB,0.330000,10000,0.3945,3950.0000,3300.000000,-650.000000,-16.455696
7076,CBIP,0.920000,87000,1.2337,107358.0000,80040.000000,-27318.000000,-25.445705
2925,CCB,1.580000,16000,1.7075,27328.0000,25280.000000,-2048.000000,-7.494145
5797,CHOOBEE,1.160000,6000,1.5500,9300.0000,6960.000000,-2340.000000,-25.161290
1023,CIMB,4.790000,500,5.2300,2615.0000,2395.000000,-220.000000,-8.413002
7117,CJCEN,0.370000,135000,0.5402,72900.0000,49950.000000,-22950.000000,-31.481481
2852,CMSB,1.950000,8000,2.0100,16080.0000,15600.000000,-480.000000,-2.985075
5094,CSCSTEL,1.060000,30000,1.1000,33000.0000,31800.000000,-1200.000000,-3.636364
5253,ECONBHD,0.650000,25000,0.6100,15250.0000,16250.000000,1000.000000,6.557377
5208,EITA,1.500000,35300,1.2007,42395.3000,52950.000000,10554.700000,24.895920
5056,ENGTEX,0.695000,50000,0.5700,28500.0000,34750.000000,6250.000000,21.929825
5101,EVERGRN,0.220000,324400,0.3457,112242.4000,71368.000000,-40874.400000,-36.416185
5222,FGV,1.200000,320000,1.4323,458240.0000,384000.000000,-74240.000000,-16.201117
7210,FREIGHT,0.600000,48500,0.6063,29391.0000,29100.000000,-291.000000,-0.990099
5209,GASMSIA,2.790000,21000,2.2067,46347.0000,58590.000000,12243.000000,26.415949
4715,GENM,2.920000,3000,3.0500,9150.0000,8760.000000,-390.000000,-4.262295
3182,GENTING,5.050000,1000,5.9200,5920.0000,5050.000000,-870.000000,-14.695946
3204,GKENT,0.840000,10000,0.8795,8800.0000,8400.000000,-400.000000,-4.545455
5020,GLOMAC,0.335000,145000,0.4199,60900.0000,48575.000000,-12325.000000,-20.238095
7022,GTRONIC,2.080000,1000,1.5500,1550.0000,2080.000000,530.000000,34.193548
7668,HAIO,1.930000,1000,2.3900,2390.0000,1930.000000,-460.000000,-19.246862
5168,HARTA,6.050000,1000,4.7400,4740.0000,6050.000000,1310.000000,27.637131
3255,HEIM,26.380000,100,24.5800,2458.0000,2638.000000,180.000000,7.323027
5095,HEVEA,0.420000,51700,0.6032,31175.1000,21714.000000,-9461.100000,-30.348259
5819,HLBANK,15.280000,1000,16.6760,16676.0000,15280.000000,-1396.000000,-8.371312
5160,HOMERIZ,0.620000,2000,0.6000,1200.0000,1240.000000,40.000000,3.333333
5160WB,HOMERIZ-WB,0.160000,500,0.0000,0.0000,80.000000,80.000000,0.000000
6238,HSL,1.270000,1000,1.5000,1500.0000,1270.000000,-230.000000,-15.333333
5024,HUPSENG,0.915000,10000,1.0200,10200.0000,9150.000000,-1050.000000,-10.294118
5108,ICAP,2.150000,7000,2.4000,16800.0000,15050.000000,-1750.000000,-10.416667
5225,IHH,5.680000,300,5.5000,1650.0000,1704.000000,54.000000,3.272727
3336,IJM,1.940000,17000,1.7659,30022.0000,32980.000000,2958.000000,9.852775
0166,INARI,1.450000,2000,1.3600,2720.0000,2900.000000,180.000000,6.617647
5249,IOIPG,1.040000,34000,1.3947,47430.0000,35360.000000,-12070.000000,-25.448029
5107,IQGROUP,0.550000,22000,1.4595,32120.0000,12100.000000,-20020.000000,-62.328767
5161,JCY,0.280000,200000,0.2425,48600.0000,56000.000000,7400.000000,15.226337
5247,KAREX,0.445000,40000,0.4100,16400.0000,17800.000000,1400.000000,8.536585
7216,KAWAN,1.300000,3500,1.3500,4725.0000,4550.000000,-175.000000,-3.703704
6491,KFIMA,1.550000,25000,1.6820,42050.0000,38750.000000,-3300.000000,-7.847800
5171,KIMLUN,1.030000,5000,1.1300,5650.0000,5150.000000,-500.000000,-8.849558
7153,KOSSAN,4.850000,500,3.5200,1760.0000,2425.000000,665.000000,37.784091
5878,KPJ,0.950000,1000,0.9450,945.0000,950.000000,5.000000,0.529101
5038,KSL,0.715000,52000,0.8546,44460.0000,37180.000000,-7280.000000,-16.374269
5789,LBS,0.460000,10000,0.5000,5000.0000,4600.000000,-400.000000,-8.000000
5284,LCTITAN,1.630000,160000,2.4598,393600.0000,260800.000000,-132800.000000,-33.739837
7126,LONBISC,0.020000,4000,0.3500,1400.0000,80.000000,-1320.000000,-94.285714
3859,MAGNUM,2.490000,25000,2.1172,52925.0000,62250.000000,9325.000000,17.619273
